item_id,name,category,price,other_colors,short_description,frame_quality_type,strength,flexibility,usability_status
39277196,GRÖNLID,Beds,3145,Yes,2-seat sofa-bed section,98,104,160,TRUE
59266074,LIDHULT,Beds,7873,No,3-seat sofa-bed,164,102,298,TRUE
39180566,STUVA / FÖLJA,Beds,985,No,"        Cot with drawers,          60x120 cm",,86,66,TRUE
39266008,LIDHULT,Beds,5553,No,2-seat sofa-bed,98,102,208,TRUE
49253185,STUVA / FRITIDS,Beds,995,No,"        Cot with drawers,          60x120 cm",,86,66,TRUE
59297141,JONAXEL,Bookcases & shelving units,135,No,"        Frame with mesh baskets,          25x51x70 cm",51,70,25,TRUE
59201841,OLAUS,Bookcases & shelving units,290,No,"        1 shelf section,          92x36x181 cm",36,181,92,TRUE
59297674,JONAXEL,Bookcases & shelving units,915,No,"        Frame/mesh baskts/clths rl/shlv uts,          198x51x173 cm",51,173,198,TRUE
450347,KOLBJÖRN,Bookcases & shelving units,345,No,"        Cabinet in/outdoor,          80x81 cm",35,81,80,TRUE
69297287,JONAXEL,Bookcases & shelving units,375,No,"        Shelving unit,          182x51x160 cm",51,160,182,TRUE
99303461,IVAR,Bookcases & shelving units,1385,No,"        Shelv unit w table/cabinets/drawers,          175x30-104x179 cm",,179,175,TRUE
70261131,GERSBY,Bookcases & shelving units,95,No,"        Bookcase,          60x180 cm",24,180,60,TRUE
20275814,KALLAX,Bookcases & shelving units,115,Yes,"        Shelving unit,          77x77 cm",39,77,77,TRUE
60282186,LACK,Bookcases & shelving units,199,Yes,"        Wall shelf unit,          30x190 cm",28,190,30,TRUE
278578,HYLLIS,Bookcases & shelving units,59,No,"        Shelving unit,          60x27x140 cm",27,140,60,TRUE
80275887,KALLAX,Bookcases & shelving units,250,Yes,"        Shelving unit,          77x147 cm",39,147,77,TRUE
50419972,JONAXEL,Bookcases & shelving units,175,No,"        Shelving unit,          80x38x160 cm",38,160,80,TRUE
30428326,HYLLIS,Bookcases & shelving units,39,No,"        Shelving unit,          60x27x74 cm",27,74,60,TRUE
90282180,LACK,Bookcases & shelving units,39,Yes,"        Wall shelf,          110x26 cm",26,,,TRUE
40178591,LAIVA,Bookcases & shelving units,85,No,"        Bookcase,          62x165 cm",24,165,62,TRUE
40322876,SVALNÄS,Bookcases & shelving units,270,No,"        Desk space with 2 drawers,          81x35 cm",35,,81,TRUE
20346072,KALLAX,Bookcases & shelving units,30,No,Shelf insert,12,35,33,TRUE
